generation,rateshifts,jumps,rootstate,jumpvariance
0,0,1,0.338235,0
1000,0,0,1.27748,0
2000,0,0,0.589547,0
3000,0,0,0.428463,0
4000,0,0,0.428463,0
5000,0,0,-0.776031,0
6000,0,0,-1.83264,0
7000,0,0,-1.47028,0
8000,0,0,-1.47028,0
9000,0,1,-1.79788,0
10000,1,0,-0.30824,0
11000,0,0,-1.18121,0
12000,0,0,-1.18121,0
13000,0,0,-0.810245,0
14000,2,1,0.0616121,0
15000,0,1,-0.147309,0
16000,0,1,-0.952837,0
17000,0,0,-1.12065,0
18000,0,1,-0.909965,0
19000,0,1,-0.365165,0
20000,1,0,-0.51136,0
21000,0,0,-0.51136,0
22000,0,0,-0.51136,0
23000,1,0,0.411867,0
24000,0,0,-0.548839,0
25000,0,0,1.15057,0
26000,0,0,-0.48736,0
27000,0,0,0.65887,0
28000,0,0,-0.486162,0
29000,0,0,-1.73309,0
30000,0,0,-0.246874,0
31000,1,1,-1.16821,0
32000,2,0,0.802212,0
33000,0,0,0.0807765,0
34000,0,0,0.0807765,0
35000,1,1,-1.05871,0
36000,0,0,-0.703249,0
37000,0,0,-0.300917,0
38000,0,0,1.32272,0
39000,0,0,0.700259,0
40000,1,1,-1.33438,0
41000,2,0,-2.45575,0
42000,0,0,-0.0613166,0
43000,0,0,-0.102784,0
44000,0,0,1.5016,0
45000,1,0,1.91748,0
46000,0,0,1.09624,0
47000,0,0,1.08598,0
48000,0,0,2.74287,0
49000,1,0,1.76786,0
50000,0,1,0.935222,0
51000,0,0,0.768799,0
52000,1,0,2.58419,0
53000,0,0,3.6894,0
54000,0,0,2.82986,0
55000,0,0,4.1907,0
56000,2,0,2.32034,0
57000,2,0,0.860191,0
58000,0,0,1.17515,0
59000,0,0,0.635537,0
60000,1,0,0.635537,0
61000,0,0,1.50116,0
62000,1,0,1.27204,0
63000,0,0,-0.0212425,0
64000,0,0,-0.0212425,0
65000,0,0,2.58341,0
66000,1,0,1.46023,0
67000,1,1,2.82841,0
68000,0,0,2.50753,0
69000,0,0,1.0984,0
70000,0,1,0.417614,0
71000,0,0,-0.206053,0
72000,0,1,0.232353,0
73000,0,1,1.99682,0
74000,0,1,2.01106,0
75000,0,1,0.729531,0
76000,0,1,-1.83084,0
77000,0,2,-1.7331,0
78000,0,1,1.76605,0
79000,1,1,-0.435791,0
80000,0,1,-0.435791,0
81000,1,1,0.848831,0
82000,0,1,0.156047,0
83000,0,1,1.16038,0
84000,0,1,-1.33893,0
85000,0,1,0.649523,0
86000,1,1,0.636856,0
87000,1,1,1.84481,0
88000,0,1,1.46761,0
89000,0,1,0.0984999,0
90000,1,1,0.0984999,0
91000,1,1,-0.351651,0
92000,0,1,1.71472,0
93000,0,1,0.726532,0
94000,0,1,1.37236,0
95000,0,1,2.31496,0
96000,1,1,3.2925,0
97000,1,1,0.000654483,0
98000,0,1,2.77202,0
99000,0,1,0.839158,0
100000,1,1,-0.898621,0
101000,0,1,-0.253511,0
102000,0,1,-0.967503,0
103000,0,1,-0.525463,0
104000,2,1,0.136157,0
105000,1,1,1.4206,0
106000,0,1,0.936721,0
107000,0,1,3.22845,0
108000,0,1,2.55403,0
109000,0,1,0.639104,0
110000,1,1,-0.0511106,0
111000,1,2,1.28246,0
112000,0,1,0.260152,0
113000,0,1,1.70289,0
114000,0,1,0.815559,0
115000,0,1,0.424454,0
116000,0,1,0.725897,0
117000,0,1,-2.48936,0
118000,0,2,-2.48936,0
119000,0,1,-0.913908,0
120000,0,1,-1.2152,0
121000,0,1,-1.20144,0
122000,1,1,-3.20266,0
123000,0,1,-0.527377,0
124000,0,1,0.22322,0
125000,0,1,0.438787,0
126000,0,1,0.169033,0
127000,0,1,0.596418,0
128000,0,1,0.688957,0
129000,0,1,2.0069,0
130000,1,1,-1.24147,0
131000,1,1,3.73525,0
132000,0,1,1.81895,0
133000,0,1,1.13093,0
134000,0,2,4.38688,0
135000,1,1,3.66416,0
136000,0,1,3.82537,0
137000,0,1,2.59219,0
138000,0,1,5.79644,0
139000,0,2,2.30448,0
140000,0,1,2.49499,0
141000,0,2,-0.35595,0
142000,0,1,0.145635,0
143000,0,1,0.562045,0
144000,0,1,0.265393,0
145000,0,1,2.17975,0
146000,1,1,1.66668,0
147000,2,1,1.61322,0
148000,0,1,-0.512451,0
149000,2,1,0.320823,0
150000,2,1,-0.598192,0
151000,1,1,-0.598192,0
152000,1,1,1.25191,0
153000,1,1,-0.860923,0
154000,1,1,0.379298,0
155000,1,1,1.84307,0
156000,0,1,1.93115,0
157000,0,1,0.815153,0
158000,0,1,-0.314209,0
159000,0,1,-0.948894,0
160000,1,1,-0.80541,0
161000,0,1,-1.00583,0
162000,2,4,-0.988066,0
163000,4,1,4.38494,0
164000,3,1,1.34686,0
165000,5,1,0.322857,0
166000,3,1,2.44058,0
167000,0,1,2.44058,0
168000,1,1,-0.137071,0
169000,0,1,0.234131,0
170000,1,1,-2.29028,0
171000,0,1,3.59005,0
172000,0,1,0.615496,0
173000,0,1,2.45395,0
174000,0,1,-0.230014,0
175000,2,3,1.68362,0
176000,0,1,1.3578,0
177000,0,1,1.2476,0
178000,0,1,0.677859,0
179000,0,1,-0.259996,0
180000,0,1,-2.20331,0
181000,0,1,-1.98362,0
182000,1,2,-1.32483,0
183000,0,2,0.969514,0
184000,0,2,1.92322,0
185000,1,1,0.520806,0
186000,1,1,-0.694468,0
187000,0,1,-0.303232,0
188000,0,1,1.98994,0
189000,0,2,4.68593,0
190000,0,1,2.42284,0
191000,1,1,-1.02054,0
192000,0,1,2.35904,0
193000,0,1,3.57191,0
194000,0,1,1.17237,0
195000,0,1,1.06944,0
196000,0,1,2.15499,0
197000,0,1,1.46269,0
198000,0,2,1.79143,0
199000,0,1,2.98072,0
200000,0,1,0.423169,0
201000,0,1,0.423169,0
202000,0,1,2.78721,0
203000,0,1,2.74025,0
204000,1,1,2.36389,0
205000,0,1,1.5848,0
206000,2,1,0.661858,0
207000,0,1,2.94551,0
208000,2,2,1.82632,0
