generation,rateshifts,jumps,rootstate,jumpvariance
0,0,0,0.338235,5
1000,0,0,0.780391,5
2000,0,1,-1.26088,5
3000,0,1,-1.7237,5
4000,0,1,-1.7237,5
5000,0,0,-2.28876,5
6000,0,0,-2.28876,5
7000,0,0,-0.827797,5
8000,0,0,-0.827797,5
9000,0,0,-1.58682,5
10000,0,0,-1.92317,5
11000,0,0,-3.16573,5
12000,0,1,-2.55186,5
13000,0,0,-1.02726,5
14000,0,1,-1.34573,5
15000,0,0,-2.64811,5
16000,0,0,-0.82464,5
17000,0,0,-1.53606,5
18000,0,0,-0.326453,5
19000,0,0,-1.64013,5
20000,0,0,-0.46258,5
21000,0,0,-1.5401,5
22000,0,0,-1.19851,5
23000,0,0,-2.78701,5
24000,0,0,-2.78701,5
25000,1,1,-0.174121,5
26000,0,0,-0.618509,5
27000,0,0,-2.24943,5
28000,0,0,-1.38805,5
29000,1,1,-0.716488,5
30000,1,1,-1.1195,5
31000,0,1,-1.1195,5
32000,0,1,-1.78121,5
33000,0,1,-1.78121,5
34000,1,1,-1.78121,5
35000,0,2,-1.20803,5
36000,0,1,-1.69966,5
37000,0,1,-1.38921,5
38000,1,1,-1.38921,5
39000,0,1,-1.58604,5
40000,0,1,-0.220646,5
41000,0,1,-1.14063,5
42000,1,1,-1.14063,5
43000,0,1,-1.14063,5
44000,1,1,-1.14063,5
45000,2,1,-1.14063,5
46000,1,1,-0.895557,5
47000,1,1,-1.26589,5
48000,0,1,-0.058999,5
49000,1,1,0.0225333,5
50000,0,1,0.0225333,5
51000,1,1,-0.836737,5
52000,0,1,-0.0796819,5
53000,0,1,0.038552,5
54000,0,1,0.162625,5
55000,0,1,0.205875,5
56000,1,1,-1.40192,5
57000,0,1,0.255438,5
58000,0,1,-0.146608,5
59000,0,2,0.263799,5
60000,0,1,0.5418,5
61000,0,1,0.5418,5
62000,0,2,-0.261886,5
63000,0,1,-0.178274,5
64000,0,2,-1.03474,5
65000,1,1,-1.03474,5
66000,1,2,-1.03474,5
67000,0,1,-0.170704,5
68000,0,1,0.625119,5
69000,0,1,-0.2016,5
70000,0,1,-1.08653,5
71000,1,1,-0.979793,5
72000,0,1,-0.45886,5
73000,0,1,-0.535778,5
74000,0,2,-0.535778,5
75000,0,2,-0.968403,5
76000,0,1,-1.17317,5
77000,0,1,0.210183,5
78000,0,1,0.407511,5
79000,0,1,0.407511,5
80000,1,2,0.407511,5
81000,1,2,0.371141,5
82000,2,1,0.0143529,5
83000,0,1,0.0617352,5
84000,0,1,1.09135,5
85000,0,1,0.594437,5
86000,1,1,0.594437,5
87000,0,1,0.594437,5
88000,0,1,0.991737,5
89000,0,1,-0.489652,5
90000,0,2,-0.393821,5
91000,1,2,-0.393821,5
92000,0,1,-0.0587766,5
93000,0,1,-0.56225,5
94000,0,1,0.425024,5
95000,0,1,0.425024,5
96000,0,1,0.425024,5
97000,0,1,1.70142,5
98000,0,1,1.70142,5
99000,0,1,2.00406,5
100000,0,1,2.25782,5
101000,0,1,2.25782,5
102000,0,1,2.25782,5
103000,0,1,1.0276,5
104000,0,1,-0.239361,5
105000,0,1,-0.707737,5
106000,0,1,1.89385,5
107000,0,2,0.616416,5
108000,1,2,0.281854,5
109000,0,2,0.148029,5
110000,0,1,0.83925,5
111000,0,1,-0.197503,5
112000,0,1,0.564816,5
113000,0,1,-0.319765,5
114000,0,1,-0.963313,5
115000,0,1,2.1921,5
116000,0,1,1.35285,5
117000,0,1,0.563959,5
118000,1,2,-0.334484,5
119000,0,1,1.01599,5
120000,0,2,1.01599,5
121000,1,1,-1.537,5
122000,0,1,0.474428,5
123000,0,1,0.95103,5
124000,0,1,-0.00797636,5
125000,2,2,-0.379442,5
126000,0,1,-0.38755,5
127000,0,1,-1.02876,5
128000,0,1,-1.05075,5
129000,0,1,-0.999267,5
130000,0,1,-1.10671,5
131000,0,1,0.290938,5
132000,1,1,1.37728,5
133000,0,1,-0.710419,5
134000,0,1,0.11283,5
135000,0,2,0.11283,5
136000,0,1,-0.496692,5
137000,0,2,-1.1547,5
138000,0,1,-1.64496,5
139000,0,1,-0.581788,5
140000,0,1,-0.956724,5
141000,0,1,1.34089,5
142000,0,2,1.27371,5
143000,0,1,0.744029,5
144000,0,1,0.699479,5
145000,0,1,1.47121,5
146000,0,1,1.69156,5
147000,0,1,1.61561,5
148000,0,1,1.62157,5
149000,0,1,1.62157,5
150000,0,1,1.62157,5
151000,0,1,1.68627,5
152000,0,1,2.4209,5
153000,1,1,1.30889,5
154000,0,1,1.57892,5
155000,0,1,2.05641,5
156000,0,1,0.663131,5
157000,0,1,1.89288,5
158000,0,1,-0.46867,5
159000,0,1,0.170317,5
160000,1,1,0.989627,5
161000,1,2,1.77484,5
162000,0,1,1.02024,5
163000,0,1,0.580601,5
164000,0,1,1.23578,5
165000,0,1,-1.56795,5
166000,1,1,-0.415926,5
167000,0,1,-0.595716,5
168000,1,1,0.735526,5
169000,0,2,-0.607426,5
170000,0,1,-0.129289,5
171000,1,2,0.301142,5
172000,0,3,1.45661,5
173000,1,1,1.45661,5
174000,0,1,1.25594,5
175000,0,1,-0.174952,5
176000,0,1,-0.484754,5
177000,0,1,1.44578,5
178000,0,1,0.0256156,5
179000,0,1,0.0256156,5
180000,1,1,0.301669,5
181000,0,1,-0.157033,5
182000,0,1,-0.495395,5
183000,0,1,-0.495395,5
184000,0,1,-0.495395,5
185000,1,1,-0.0962452,5
186000,0,1,-0.78686,5
187000,0,1,-0.674738,5
188000,1,3,-0.553722,5
189000,0,3,-0.291035,5
190000,0,2,-0.621411,5
191000,0,2,-1.17882,5
192000,1,2,-1.17882,5
193000,0,2,-1.26622,5
194000,0,2,-0.332239,5
195000,0,2,-0.215398,5
196000,0,2,-0.59098,5
197000,0,1,-0.59098,5
198000,0,2,1.25614,5
199000,0,1,0.475263,5
200000,0,1,0.170686,5
201000,0,2,0.871294,5
202000,0,1,0.19187,5
203000,0,1,1.03304,5
204000,0,1,0.453823,5
205000,0,1,0.067036,5
206000,0,1,-0.374706,5
207000,0,1,0.203243,5
208000,0,1,-0.350515,5
209000,0,1,-0.63475,5
210000,0,1,1.40302,5
211000,0,1,-0.677114,5
212000,1,1,1.39881,5
213000,0,2,0.292427,5
214000,1,1,0.538529,5
215000,0,1,0.96982,5
216000,0,1,1.54169,5
217000,0,2,0.867846,5
218000,0,1,0.915033,5
219000,0,1,0.915033,5
220000,0,1,0.758827,5
221000,1,1,0.863443,5
222000,2,2,1.04145,5
223000,0,2,1.32712,5
224000,1,2,2.77595,5
225000,0,3,1.08101,5
226000,0,2,1.08101,5
227000,1,2,1.08101,5
228000,1,4,1.41267,5
229000,0,2,2.71763,5
230000,0,2,2.43937,5
231000,0,2,2.43937,5
232000,0,2,1.71342,5
233000,0,1,-1.35415,5
234000,0,1,-0.354735,5
235000,0,1,-0.750994,5
236000,0,1,0.748523,5
237000,0,1,0.325471,5
238000,0,1,0.402585,5
239000,0,1,-1.1928,5
240000,0,2,0.432306,5
241000,1,1,0.144643,5
242000,0,1,-0.0153151,5
243000,0,1,-0.671195,5
244000,0,1,-0.128451,5
245000,0,2,-1.36999,5
246000,0,1,-1.19761,5
247000,0,1,-1.12281,5
248000,1,1,1.19021,5
249000,0,2,0.442118,5
250000,1,3,0.137041,5
251000,0,1,1.41463,5
252000,0,2,0.225231,5
253000,0,1,0.589517,5
254000,0,1,0.589517,5
255000,0,1,0.833875,5
256000,0,1,1.61418,5
257000,0,1,1.52378,5
258000,1,1,-0.566146,5
259000,1,2,-0.0504524,5
260000,0,1,1.33319,5
261000,0,1,-0.74476,5
262000,0,1,0.165586,5
263000,0,1,0.768664,5
264000,0,1,0.768664,5
265000,1,1,1.69831,5
266000,0,1,1.69831,5
267000,0,1,1.50736,5
268000,1,1,-0.595522,5
269000,1,2,-0.202907,5
270000,0,2,-0.42502,5
271000,0,1,-0.42502,5
272000,2,1,-1.88074,5
273000,1,1,-0.290401,5
274000,0,1,-0.290401,5
275000,0,1,-1.72156,5
276000,0,1,-1.72156,5
277000,0,2,-1.93068,5
278000,0,1,-1.19333,5
279000,1,2,-0.41447,5
280000,0,1,-0.435997,5
281000,0,2,-0.435997,5
282000,0,1,-2.6254,5
283000,0,1,-1.30876,5
284000,0,1,-0.959936,5
285000,0,1,-1.20107,5
286000,0,1,-0.687682,5
287000,0,1,-0.693844,5
288000,0,2,-0.7107,5
289000,0,1,-1.52501,5
290000,0,1,-1.336,5
291000,0,1,-0.71754,5
292000,1,1,-0.733713,5
293000,1,1,-0.781615,5
294000,0,1,0.03532,5
295000,0,1,-0.697326,5
296000,3,1,-0.480831,5
297000,0,1,0.493456,5
298000,0,2,-0.667058,5
299000,0,1,0.480014,5
300000,0,1,-0.842219,5
301000,0,1,-0.842219,5
302000,1,1,-0.842219,5
303000,0,3,-0.842219,5
304000,1,2,0.00634209,5
305000,0,1,0.922036,5
306000,0,1,1.30833,5
307000,0,1,1.74018,5
308000,0,1,1.74018,5
309000,0,1,1.74018,5
310000,0,1,1.74018,5
311000,0,1,1.74018,5
312000,0,1,2.47274,5
313000,0,1,2.26711,5
314000,0,1,2.86411,5
315000,0,1,2.86411,5
316000,0,1,2.53619,5
317000,0,2,2.91474,5
318000,0,1,1.79498,5
319000,0,2,1.61047,5
320000,1,1,1.72075,5
321000,1,1,0.0574738,5
322000,0,1,0.0574738,5
323000,2,1,0.821779,5
324000,0,1,0.251565,5
325000,1,1,0.251565,5
326000,0,2,0.251565,5
327000,0,2,0.0155354,5
328000,0,1,0.275239,5
329000,0,1,0.275239,5
330000,1,2,0.164036,5
331000,0,3,1.85443,5
332000,0,1,2.04709,5
333000,0,1,2.45917,5
334000,0,1,3.65354,5
335000,0,1,2.04421,5
336000,0,1,-0.574719,5
337000,0,2,0.545698,5
338000,0,2,-0.992575,5
339000,0,2,0.362206,5
340000,0,1,0.16027,5
341000,0,1,0.749641,5
342000,0,1,0.0558995,5
343000,0,1,0.287441,5
344000,0,1,0.287441,5
345000,0,1,-0.295677,5
346000,1,1,-0.567944,5
347000,1,1,0.619557,5
348000,0,1,1.00154,5
349000,1,1,1.00004,5
350000,0,1,1.58939,5
351000,0,1,-0.721268,5
352000,0,1,0.336009,5
353000,0,1,-0.877021,5
354000,0,1,0.811318,5
355000,0,2,0.811318,5
356000,2,1,-0.171827,5
357000,0,2,-0.531722,5
358000,0,1,0.514169,5
359000,0,1,0.514169,5
360000,0,1,0.615539,5
361000,0,1,-0.907962,5
362000,0,1,-0.907962,5
363000,0,1,0.415599,5
364000,0,1,-0.429148,5
365000,0,1,-0.503914,5
366000,0,1,0.0918967,5
367000,1,1,-1.13363,5
368000,0,2,-2.17727,5
369000,0,1,0.40474,5
370000,1,1,0.477185,5
371000,0,1,-1.51953,5
372000,0,2,-0.0965699,5
373000,0,1,-0.74663,5
374000,1,1,-0.765841,5
375000,0,1,-0.25853,5
376000,0,1,0.00260108,5
377000,0,1,-1.33743,5
378000,1,3,-0.645458,5
379000,0,1,-0.593099,5
380000,1,1,-0.838109,5
381000,0,1,-0.617425,5
382000,0,1,-2.29202,5
383000,0,2,-2.5322,5
384000,0,1,-1.62666,5
385000,0,1,-1.72883,5
386000,0,1,-0.938094,5
387000,0,1,0.652521,5
388000,0,1,0.652521,5
389000,0,1,-0.000981285,5
390000,0,1,-0.000981285,5
